modzcta,modzcta_name,percentpositivity_7day,people_tested,cases,daterange
11367,Kew Gardens Hills/Pomonok,2.2,908,26,October 26-November 1
11368,Corona/North Corona,1.81,2049,41,October 26-November 1
11369,Airport/East Elmhurst,1.77,962,25,October 26-November 1
11370,Jackson Heights/Rikers Island,2.66,601,17,October 26-November 1
11372,Jackson Heights,1.93,1761,43,October 26-November 1
11373,Elmhurst,1.71,1870,34,October 26-November 1
11374,Rego Park,0.99,913,12,October 26-November 1
11375,Forest Hills,1,1803,26,October 26-November 1
11377,Woodside,1.2,2077,32,October 26-November 1
11378,Maspeth,2.09,719,18,October 26-November 1
11379,Middle Village,1.3,845,15,October 26-November 1
11385,Glendale/Ridgewood,2.41,1988,63,October 26-November 1
11411,Cambria Heights,1.1,365,6,October 26-November 1
11412,St. Albans,1.08,830,12,October 26-November 1
11413,Laurelton/Rosedale,1,799,13,October 26-November 1
11414,Hamilton Beach/Howard Beach/Lindenwood,1.06,566,9,October 26-November 1
11415,Kew Gardens,1.18,424,7,October 26-November 1
11416,Ozone Park,1.61,373,8,October 26-November 1
11417,Ozone Park,2.06,582,12,October 26-November 1
11418,Richmond Hill,1.34,749,13,October 26-November 1
11419,Richmond Hill/South Ozone Park,0.97,720,9,October 26-November 1
11420,South Ozone Park,1.91,784,18,October 26-November 1
11421,Woodhaven,2.64,794,25,October 26-November 1
11422,Rosedale,0.78,643,7,October 26-November 1
11423,Hollis/Holliswood,0.73,689,3,October 26-November 1
11426,Bellerose,1.52,396,6,October 26-November 1
11427,Bellerose/Hollis Hills/Holliswood,1.16,517,8,October 26-November 1
11428,Queens Village,1.13,442,8,October 26-November 1
11429,Queens Village,0.98,615,9,October 26-November 1
11432,Hillcrest/Jamaica Estates/Jamaica Hills,1.7,1292,26,October 26-November 1
11433,Jamaica,0.8,622,5,October 26-November 1
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,1.16,1289,19,October 26-November 1
11435,Briarwood/Jamaica,1.56,1087,23,October 26-November 1
11436,South Jamaica/South Ozone Park,0.83,361,3,October 26-November 1
11691,Edgemere/Far Rockaway,1.67,1141,24,October 26-November 1
11692,Arverne/Edgemere,0.74,406,5,October 26-November 1
11693,Arverne/Broad Channel,1.37,292,6,October 26-November 1
11694,Belle Harbor-Neponsit/Rockaway Park,1.45,622,9,October 26-November 1
11697,Breezy Point,0,105,0,October 26-November 1
